step_id,process_id,sequence,name,description,responsible_team_id,responsible_employee_id,expected_output,sla_hours
PS001,BP001,1,Receive trigger/input - Sanctions Screening,Step 1 for Sanctions Screening: receive trigger/input and keep ownership evidence transparent.,T002,E007,Validated input,4
PS002,BP001,2,Validate input completeness - Sanctions Screening,Step 2 for Sanctions Screening: validate input completeness and keep ownership evidence transparent.,T002,E007,Validated input,4
PS003,BP001,3,Check policy/control requirements - Sanctions Screening,Step 3 for Sanctions Screening: check policy/control requirements and keep ownership evidence transparent.,T002,E007,Validated input,4
PS004,BP001,4,Execute core activity - Sanctions Screening,Step 4 for Sanctions Screening: execute core activity and keep ownership evidence transparent.,T002,E007,Evidence record,4
PS005,BP001,5,Review exception or quality result - Sanctions Screening,Step 5 for Sanctions Screening: review exception or quality result and keep ownership evidence transparent.,T002,E007,Evidence record,4
PS006,BP001,6,Escalate where required - Sanctions Screening,Step 6 for Sanctions Screening: escalate where required and keep ownership evidence transparent.,T002,E007,Evidence record,4
PS007,BP001,7,Record evidence and decision - Sanctions Screening,Step 7 for Sanctions Screening: record evidence and decision and keep ownership evidence transparent.,T002,E007,Evidence record,4
PS008,BP002,1,Receive trigger/input - KYC Customer Onboarding,Step 1 for KYC Customer Onboarding: receive trigger/input and keep ownership evidence transparent.,T002,E008,Validated input,24
PS009,BP002,2,Validate input completeness - KYC Customer Onboarding,Step 2 for KYC Customer Onboarding: validate input completeness and keep ownership evidence transparent.,T002,E008,Validated input,24
PS010,BP002,3,Check policy/control requirements - KYC Customer Onboarding,Step 3 for KYC Customer Onboarding: check policy/control requirements and keep ownership evidence transparent.,T002,E008,Validated input,24
PS011,BP002,4,Execute core activity - KYC Customer Onboarding,Step 4 for KYC Customer Onboarding: execute core activity and keep ownership evidence transparent.,T002,E008,Evidence record,24
PS012,BP002,5,Review exception or quality result - KYC Customer Onboarding,Step 5 for KYC Customer Onboarding: review exception or quality result and keep ownership evidence transparent.,T002,E008,Evidence record,24
PS013,BP002,6,Escalate where required - KYC Customer Onboarding,Step 6 for KYC Customer Onboarding: escalate where required and keep ownership evidence transparent.,T002,E008,Evidence record,24
PS014,BP002,7,Record evidence and decision - KYC Customer Onboarding,Step 7 for KYC Customer Onboarding: record evidence and decision and keep ownership evidence transparent.,T002,E008,Evidence record,24
PS015,BP003,1,Receive trigger/input - AML Alert Investigation,Step 1 for AML Alert Investigation: receive trigger/input and keep ownership evidence transparent.,T002,E006,Validated input,24
PS016,BP003,2,Validate input completeness - AML Alert Investigation,Step 2 for AML Alert Investigation: validate input completeness and keep ownership evidence transparent.,T002,E006,Validated input,24
PS017,BP003,3,Check policy/control requirements - AML Alert Investigation,Step 3 for AML Alert Investigation: check policy/control requirements and keep ownership evidence transparent.,T002,E006,Validated input,24
PS018,BP003,4,Execute core activity - AML Alert Investigation,Step 4 for AML Alert Investigation: execute core activity and keep ownership evidence transparent.,T002,E006,Evidence record,24
PS019,BP003,5,Review exception or quality result - AML Alert Investigation,Step 5 for AML Alert Investigation: review exception or quality result and keep ownership evidence transparent.,T002,E006,Evidence record,24
PS020,BP003,6,Escalate where required - AML Alert Investigation,Step 6 for AML Alert Investigation: escalate where required and keep ownership evidence transparent.,T002,E006,Evidence record,24
PS021,BP003,7,Record evidence and decision - AML Alert Investigation,Step 7 for AML Alert Investigation: record evidence and decision and keep ownership evidence transparent.,T002,E006,Evidence record,24
PS022,BP004,1,Receive trigger/input - Payment Processing,Step 1 for Payment Processing: receive trigger/input and keep ownership evidence transparent.,T005,E018,Validated input,4
PS023,BP004,2,Validate input completeness - Payment Processing,Step 2 for Payment Processing: validate input completeness and keep ownership evidence transparent.,T005,E018,Validated input,4
PS024,BP004,3,Check policy/control requirements - Payment Processing,Step 3 for Payment Processing: check policy/control requirements and keep ownership evidence transparent.,T005,E018,Validated input,4
PS025,BP004,4,Execute core activity - Payment Processing,Step 4 for Payment Processing: execute core activity and keep ownership evidence transparent.,T005,E018,Evidence record,4
PS026,BP004,5,Review exception or quality result - Payment Processing,Step 5 for Payment Processing: review exception or quality result and keep ownership evidence transparent.,T005,E018,Evidence record,4
PS027,BP004,6,Escalate where required - Payment Processing,Step 6 for Payment Processing: escalate where required and keep ownership evidence transparent.,T005,E018,Evidence record,4
PS028,BP004,7,Record evidence and decision - Payment Processing,Step 7 for Payment Processing: record evidence and decision and keep ownership evidence transparent.,T005,E018,Evidence record,4
PS029,BP005,1,Receive trigger/input - Payment Exception Handling,Step 1 for Payment Exception Handling: receive trigger/input and keep ownership evidence transparent.,T005,E019,Validated input,24
PS030,BP005,2,Validate input completeness - Payment Exception Handling,Step 2 for Payment Exception Handling: validate input completeness and keep ownership evidence transparent.,T005,E019,Validated input,24
PS031,BP005,3,Check policy/control requirements - Payment Exception Handling,Step 3 for Payment Exception Handling: check policy/control requirements and keep ownership evidence transparent.,T005,E019,Validated input,24
PS032,BP005,4,Execute core activity - Payment Exception Handling,Step 4 for Payment Exception Handling: execute core activity and keep ownership evidence transparent.,T005,E019,Evidence record,24
PS033,BP005,5,Review exception or quality result - Payment Exception Handling,Step 5 for Payment Exception Handling: review exception or quality result and keep ownership evidence transparent.,T005,E019,Evidence record,24
PS034,BP005,6,Escalate where required - Payment Exception Handling,Step 6 for Payment Exception Handling: escalate where required and keep ownership evidence transparent.,T005,E019,Evidence record,24
PS035,BP005,7,Record evidence and decision - Payment Exception Handling,Step 7 for Payment Exception Handling: record evidence and decision and keep ownership evidence transparent.,T005,E019,Evidence record,24
PS036,BP006,1,Receive trigger/input - Employee Onboarding,Step 1 for Employee Onboarding: receive trigger/input and keep ownership evidence transparent.,T003,E010,Validated input,24
PS037,BP006,2,Validate input completeness - Employee Onboarding,Step 2 for Employee Onboarding: validate input completeness and keep ownership evidence transparent.,T003,E010,Validated input,24
PS038,BP006,3,Check policy/control requirements - Employee Onboarding,Step 3 for Employee Onboarding: check policy/control requirements and keep ownership evidence transparent.,T003,E010,Validated input,24
PS039,BP006,4,Execute core activity - Employee Onboarding,Step 4 for Employee Onboarding: execute core activity and keep ownership evidence transparent.,T003,E010,Evidence record,24
PS040,BP006,5,Review exception or quality result - Employee Onboarding,Step 5 for Employee Onboarding: review exception or quality result and keep ownership evidence transparent.,T003,E010,Evidence record,24
PS041,BP007,1,Receive trigger/input - Access Request Fulfillment,Step 1 for Access Request Fulfillment: receive trigger/input and keep ownership evidence transparent.,T008,E030,Validated input,24
PS042,BP007,2,Validate input completeness - Access Request Fulfillment,Step 2 for Access Request Fulfillment: validate input completeness and keep ownership evidence transparent.,T008,E030,Validated input,24
PS043,BP007,3,Check policy/control requirements - Access Request Fulfillment,Step 3 for Access Request Fulfillment: check policy/control requirements and keep ownership evidence transparent.,T008,E030,Validated input,24
PS044,BP007,4,Execute core activity - Access Request Fulfillment,Step 4 for Access Request Fulfillment: execute core activity and keep ownership evidence transparent.,T008,E030,Evidence record,24
PS045,BP007,5,Review exception or quality result - Access Request Fulfillment,Step 5 for Access Request Fulfillment: review exception or quality result and keep ownership evidence transparent.,T008,E030,Evidence record,24
PS046,BP007,6,Escalate where required - Access Request Fulfillment,Step 6 for Access Request Fulfillment: escalate where required and keep ownership evidence transparent.,T008,E030,Evidence record,24
PS047,BP007,7,Record evidence and decision - Access Request Fulfillment,Step 7 for Access Request Fulfillment: record evidence and decision and keep ownership evidence transparent.,T008,E030,Evidence record,24
PS048,BP008,1,Receive trigger/input - IT Incident Management,Step 1 for IT Incident Management: receive trigger/input and keep ownership evidence transparent.,T008,E028,Validated input,24
PS049,BP008,2,Validate input completeness - IT Incident Management,Step 2 for IT Incident Management: validate input completeness and keep ownership evidence transparent.,T008,E028,Validated input,24
PS050,BP008,3,Check policy/control requirements - IT Incident Management,Step 3 for IT Incident Management: check policy/control requirements and keep ownership evidence transparent.,T008,E028,Validated input,24
PS051,BP008,4,Execute core activity - IT Incident Management,Step 4 for IT Incident Management: execute core activity and keep ownership evidence transparent.,T008,E028,Evidence record,24
PS052,BP008,5,Review exception or quality result - IT Incident Management,Step 5 for IT Incident Management: review exception or quality result and keep ownership evidence transparent.,T008,E028,Evidence record,24
PS053,BP009,1,Receive trigger/input - Internal Audit Engagement,Step 1 for Internal Audit Engagement: receive trigger/input and keep ownership evidence transparent.,T004,E014,Validated input,24
PS054,BP009,2,Validate input completeness - Internal Audit Engagement,Step 2 for Internal Audit Engagement: validate input completeness and keep ownership evidence transparent.,T004,E014,Validated input,24
PS055,BP009,3,Check policy/control requirements - Internal Audit Engagement,Step 3 for Internal Audit Engagement: check policy/control requirements and keep ownership evidence transparent.,T004,E014,Validated input,24
PS056,BP009,4,Execute core activity - Internal Audit Engagement,Step 4 for Internal Audit Engagement: execute core activity and keep ownership evidence transparent.,T004,E014,Evidence record,24
PS057,BP009,5,Review exception or quality result - Internal Audit Engagement,Step 5 for Internal Audit Engagement: review exception or quality result and keep ownership evidence transparent.,T004,E014,Evidence record,24
PS058,BP009,6,Escalate where required - Internal Audit Engagement,Step 6 for Internal Audit Engagement: escalate where required and keep ownership evidence transparent.,T004,E014,Evidence record,24
PS059,BP009,7,Record evidence and decision - Internal Audit Engagement,Step 7 for Internal Audit Engagement: record evidence and decision and keep ownership evidence transparent.,T004,E014,Evidence record,24
PS060,BP010,1,Receive trigger/input - Control Remediation Tracking,Step 1 for Control Remediation Tracking: receive trigger/input and keep ownership evidence transparent.,T004,E016,Validated input,24
PS061,BP010,2,Validate input completeness - Control Remediation Tracking,Step 2 for Control Remediation Tracking: validate input completeness and keep ownership evidence transparent.,T004,E016,Validated input,24
PS062,BP010,3,Check policy/control requirements - Control Remediation Tracking,Step 3 for Control Remediation Tracking: check policy/control requirements and keep ownership evidence transparent.,T004,E016,Validated input,24
PS063,BP010,4,Execute core activity - Control Remediation Tracking,Step 4 for Control Remediation Tracking: execute core activity and keep ownership evidence transparent.,T004,E016,Evidence record,24
PS064,BP010,5,Review exception or quality result - Control Remediation Tracking,Step 5 for Control Remediation Tracking: review exception or quality result and keep ownership evidence transparent.,T004,E016,Evidence record,24
PS065,BP010,6,Escalate where required - Control Remediation Tracking,Step 6 for Control Remediation Tracking: escalate where required and keep ownership evidence transparent.,T004,E016,Evidence record,24
PS066,BP010,7,Record evidence and decision - Control Remediation Tracking,Step 7 for Control Remediation Tracking: record evidence and decision and keep ownership evidence transparent.,T004,E016,Evidence record,24
PS067,BP011,1,Receive trigger/input - Legal Contract Review,Step 1 for Legal Contract Review: receive trigger/input and keep ownership evidence transparent.,T006,E023,Validated input,24
PS068,BP011,2,Validate input completeness - Legal Contract Review,Step 2 for Legal Contract Review: validate input completeness and keep ownership evidence transparent.,T006,E023,Validated input,24
PS069,BP011,3,Check policy/control requirements - Legal Contract Review,Step 3 for Legal Contract Review: check policy/control requirements and keep ownership evidence transparent.,T006,E023,Validated input,24
PS070,BP011,4,Execute core activity - Legal Contract Review,Step 4 for Legal Contract Review: execute core activity and keep ownership evidence transparent.,T006,E023,Evidence record,24
PS071,BP011,5,Review exception or quality result - Legal Contract Review,Step 5 for Legal Contract Review: review exception or quality result and keep ownership evidence transparent.,T006,E023,Evidence record,24
PS072,BP012,1,Receive trigger/input - Regulatory Legal Review,Step 1 for Regulatory Legal Review: receive trigger/input and keep ownership evidence transparent.,T006,E022,Validated input,24
PS073,BP012,2,Validate input completeness - Regulatory Legal Review,Step 2 for Regulatory Legal Review: validate input completeness and keep ownership evidence transparent.,T006,E022,Validated input,24
PS074,BP012,3,Check policy/control requirements - Regulatory Legal Review,Step 3 for Regulatory Legal Review: check policy/control requirements and keep ownership evidence transparent.,T006,E022,Validated input,24
PS075,BP012,4,Execute core activity - Regulatory Legal Review,Step 4 for Regulatory Legal Review: execute core activity and keep ownership evidence transparent.,T006,E022,Evidence record,24
PS076,BP012,5,Review exception or quality result - Regulatory Legal Review,Step 5 for Regulatory Legal Review: review exception or quality result and keep ownership evidence transparent.,T006,E022,Evidence record,24
PS077,BP012,6,Escalate where required - Regulatory Legal Review,Step 6 for Regulatory Legal Review: escalate where required and keep ownership evidence transparent.,T006,E022,Evidence record,24
PS078,BP012,7,Record evidence and decision - Regulatory Legal Review,Step 7 for Regulatory Legal Review: record evidence and decision and keep ownership evidence transparent.,T006,E022,Evidence record,24
PS079,BP013,1,Receive trigger/input - Month-End Accounting Close,Step 1 for Month-End Accounting Close: receive trigger/input and keep ownership evidence transparent.,T007,E025,Validated input,24
PS080,BP013,2,Validate input completeness - Month-End Accounting Close,Step 2 for Month-End Accounting Close: validate input completeness and keep ownership evidence transparent.,T007,E025,Validated input,24
PS081,BP013,3,Check policy/control requirements - Month-End Accounting Close,Step 3 for Month-End Accounting Close: check policy/control requirements and keep ownership evidence transparent.,T007,E025,Validated input,24
PS082,BP013,4,Execute core activity - Month-End Accounting Close,Step 4 for Month-End Accounting Close: execute core activity and keep ownership evidence transparent.,T007,E025,Evidence record,24
PS083,BP013,5,Review exception or quality result - Month-End Accounting Close,Step 5 for Month-End Accounting Close: review exception or quality result and keep ownership evidence transparent.,T007,E025,Evidence record,24
PS084,BP014,1,Receive trigger/input - Cost Center Reconciliation,Step 1 for Cost Center Reconciliation: receive trigger/input and keep ownership evidence transparent.,T007,E026,Validated input,24
PS085,BP014,2,Validate input completeness - Cost Center Reconciliation,Step 2 for Cost Center Reconciliation: validate input completeness and keep ownership evidence transparent.,T007,E026,Validated input,24
PS086,BP014,3,Check policy/control requirements - Cost Center Reconciliation,Step 3 for Cost Center Reconciliation: check policy/control requirements and keep ownership evidence transparent.,T007,E026,Validated input,24
PS087,BP014,4,Execute core activity - Cost Center Reconciliation,Step 4 for Cost Center Reconciliation: execute core activity and keep ownership evidence transparent.,T007,E026,Evidence record,24
PS088,BP014,5,Review exception or quality result - Cost Center Reconciliation,Step 5 for Cost Center Reconciliation: review exception or quality result and keep ownership evidence transparent.,T007,E026,Evidence record,24
PS089,BP015,1,Receive trigger/input - Compliance Platform Change,Step 1 for Compliance Platform Change: receive trigger/input and keep ownership evidence transparent.,T001,E002,Validated input,24
PS090,BP015,2,Validate input completeness - Compliance Platform Change,Step 2 for Compliance Platform Change: validate input completeness and keep ownership evidence transparent.,T001,E002,Validated input,24
PS091,BP015,3,Check policy/control requirements - Compliance Platform Change,Step 3 for Compliance Platform Change: check policy/control requirements and keep ownership evidence transparent.,T001,E002,Validated input,24
PS092,BP015,4,Execute core activity - Compliance Platform Change,Step 4 for Compliance Platform Change: execute core activity and keep ownership evidence transparent.,T001,E002,Evidence record,24
PS093,BP015,5,Review exception or quality result - Compliance Platform Change,Step 5 for Compliance Platform Change: review exception or quality result and keep ownership evidence transparent.,T001,E002,Evidence record,24
PS094,BP015,6,Escalate where required - Compliance Platform Change,Step 6 for Compliance Platform Change: escalate where required and keep ownership evidence transparent.,T001,E002,Evidence record,24
PS095,BP015,7,Record evidence and decision - Compliance Platform Change,Step 7 for Compliance Platform Change: record evidence and decision and keep ownership evidence transparent.,T001,E002,Evidence record,24
PS096,BP016,1,Receive trigger/input - Compliance Data Quality Monitoring,Step 1 for Compliance Data Quality Monitoring: receive trigger/input and keep ownership evidence transparent.,T001,E003,Validated input,24
PS097,BP016,2,Validate input completeness - Compliance Data Quality Monitoring,Step 2 for Compliance Data Quality Monitoring: validate input completeness and keep ownership evidence transparent.,T001,E003,Validated input,24
PS098,BP016,3,Check policy/control requirements - Compliance Data Quality Monitoring,Step 3 for Compliance Data Quality Monitoring: check policy/control requirements and keep ownership evidence transparent.,T001,E003,Validated input,24
PS099,BP016,4,Execute core activity - Compliance Data Quality Monitoring,Step 4 for Compliance Data Quality Monitoring: execute core activity and keep ownership evidence transparent.,T001,E003,Evidence record,24
PS100,BP016,5,Review exception or quality result - Compliance Data Quality Monitoring,Step 5 for Compliance Data Quality Monitoring: review exception or quality result and keep ownership evidence transparent.,T001,E003,Evidence record,24
PS101,BP016,6,Escalate where required - Compliance Data Quality Monitoring,Step 6 for Compliance Data Quality Monitoring: escalate where required and keep ownership evidence transparent.,T001,E003,Evidence record,24
PS102,BP016,7,Record evidence and decision - Compliance Data Quality Monitoring,Step 7 for Compliance Data Quality Monitoring: record evidence and decision and keep ownership evidence transparent.,T001,E003,Evidence record,24
